2023 07 26    17 12 58.73        1000        5000               -764.21789    -851.82816     291.18342     290.75870                    3.61789       2.89937       5.07706   13313.93450                    3.57409       1.45455       2.49048   14041.14011  
2023 07 26    17 13 05.33        1000        5000               -761.32485    -848.40579     291.18060     290.75707                    3.61934       2.89951       5.07705   13315.50949                    3.57580       1.45454       2.49039   14042.11078  
2023 07 26    17 13 11.90        1000        5000               -759.61894    -846.27620     291.17621     290.75825                    3.62019       2.89972       5.07703   13317.95953                    3.57686       1.45456       2.49047   14041.40609  
2023 07 26    17 13 18.47        1000        5000               -758.09918    -844.48580     291.17686     290.75531                    3.62095       2.89970       5.07704   13317.59298                    3.57776       1.45462       2.49044   14043.15974  
2023 07 26    17 13 25.03        1000        5000               -756.17253    -842.49839     291.18043     290.75149                    3.62191       2.89954       5.07709   13315.60312                    3.57875       1.45467       2.49037   14045.43033  
2023 07 26    17 13 31.60        1000        5000               -752.98348    -839.11664     291.17642     290.75093                    3.62351       2.89972       5.07703   13317.84047                    3.58044       1.45470       2.49039   14045.76444  
2023 07 26    17 13 38.16        1000        5000               -750.63670    -836.94846     291.17340     290.75321                    3.62468       2.89987       5.07703   13319.52821                    3.58153       1.45464       2.49039   14044.40892  
2023 07 26    17 13 44.73        1000        5000               -748.54729    -834.53046     291.17258     290.75587                    3.62573       2.89992       5.07704   13319.98288                    3.58273       1.45458       2.49040   14042.82532  
2023 07 26    17 13 51.30        1000        5000               -745.14258    -830.97099     291.17707     290.74858                    3.62743       2.89966       5.07700   13317.48064                    3.58451       1.45478       2.49041   14047.15914  
2023 07 26    17 13 57.87        1000        5000               -742.48860    -828.12240     291.17337     290.75492                    3.62876       2.89985       5.07699   13319.54037                    3.58594       1.45460       2.49039   14043.39008  
2023 07 26    17 14 04.43        1000        5000               -740.95969    -825.90142     291.17265     290.74992                    3.62952       2.89985       5.07692   13319.94636                    3.58705       1.45472       2.49037   14046.36471  
2023 07 26    17 14 10.99        1000        5000               -739.27005    -823.42147     291.17133     290.75114                    3.63036       2.89996       5.07699   13320.67867                    3.58829       1.45472       2.49042   14045.63809  
2023 07 26    17 14 17.56        1000        5000               -736.48586    -821.57115     291.17648     290.75372                    3.63176       2.89969       5.07699   13317.80825                    3.58921       1.45465       2.49043   14044.10328  
