2023 07 26    07 35 12.76        1000        5000               -465.98616    -374.90712     288.38928     287.96851                    3.76701       3.04414       5.07615   14980.86653                    3.81255       1.52570       2.49027   15817.22983  
2023 07 26    07 35 19.32        1000        5000               -461.08509    -369.66490     288.44316     288.03926                    3.76946       3.04138       5.07621   14946.57000                    3.81517       1.52392       2.49032   15769.16499  
2023 07 26    07 35 25.88        1000        5000               -455.12609    -360.59816     288.49085     288.09308                    3.77244       3.03885       5.07612   14916.28597                    3.81970       1.52249       2.49021   15732.71582  
2023 07 26    07 35 32.45        1000        5000               -446.74199    -348.35684     288.52148     288.13799                    3.77663       3.03731       5.07621   14896.87109                    3.82582       1.52137       2.49025   15702.37030  
2023 07 26    07 35 39.01        1000        5000               -445.50401    -345.71237     288.55274     288.16357                    3.77725       3.03570       5.07622   14877.08670                    3.82714       1.52075       2.49030   15685.11498  
2023 07 26    07 35 45.57        1000        5000               -445.72373    -345.42903     288.59808     288.21357                    3.77714       3.03332       5.07617   14848.44924                    3.82729       1.51944       2.49024   15651.45506  
2023 07 26    07 35 52.13        1000        5000               -440.52970    -337.93536     288.63086     288.25257                    3.77974       3.03160       5.07615   14827.77774                    3.83103       1.51845       2.49024   15625.25379  
2023 07 26    07 35 58.70        1000        5000               -428.12750    -321.62274     288.64799     288.25622                    3.78594       3.03071       5.07614   14816.98958                    3.83919       1.51836       2.49025   15622.80062  
2023 07 26    07 36 05.27        1000        5000               -423.51227    -312.51131     288.64179     288.23918                    3.78824       3.03107       5.07620   14820.89390                    3.84374       1.51882       2.49028   15634.24132  
2023 07 26    07 36 11.82        1000        5000               -423.56313    -311.83801     288.63379     288.22082                    3.78822       3.03143       5.07611   14825.93533                    3.84408       1.51927       2.49026   15646.58203  
2023 07 26    07 36 18.39        1000        5000               -421.17669    -313.11658     288.62887     288.21946                    3.78941       3.03176       5.07623   14829.03269                    3.84344       1.51936       2.49035   15647.49066  
2023 07 26    07 36 24.96        1000        5000               -418.48608    -312.39554     288.63191     288.19740                    3.79076       3.03153       5.07612   14827.11670                    3.84380       1.51984       2.49022   15662.33169  
2023 07 26    07 36 31.52        1000        5000               -418.51558    -311.93449     288.63341     288.20001                    3.79074       3.03147       5.07614   14826.17105                    3.84403       1.51986       2.49036   15660.57772  
2023 07 26    07 36 38.08        1000        5000               -416.25019    -312.09291     288.63658     288.19586                    3.79187       3.03136       5.07624   14824.17842                    3.84395       1.51994       2.49032   15663.36715  
2023 07 26    07 36 44.64        1000        5000               -411.25350    -308.77108     288.64234     288.20246                    3.79437       3.03104       5.07619   14820.55030                    3.84561       1.51977       2.49031   15658.92708  
2023 07 26    07 36 51.20        1000        5000               -410.24439    -307.29651     288.64019     288.19819                    3.79488       3.03113       5.07617   14821.90048                    3.84635       1.51979       2.49016   15661.80158  
2023 07 26    07 36 57.76        1000        5000               -407.08790    -307.35440     288.64137     288.20298                    3.79646       3.03104       5.07612   14821.15765                    3.84632       1.51974       2.49029   15658.57917  
2023 07 26    07 37 04.31        1000        5000               -405.13174    -306.99185     288.64680     288.21618                    3.79743       3.03080       5.07619   14817.74075                    3.84650       1.51938       2.49026   15649.69696  
2023 07 26    07 37 10.87        1000        5000               -403.75236    -306.09513     288.65161     288.22833                    3.79812       3.03060       5.07628   14814.71483                    3.84695       1.51911       2.49031   15641.53482  
